,Visitor,PTS,Home,PTS.1,visitorWin,homeWin,visTotWL,homeTotWL,visvisWL,homehomeWL,visMatchupWL,homeMatchupWL
204,Miami Heat,94,Philadelphia 76ers,101,0.0,1.0,,,,,,
205,Dallas Mavericks,91,San Antonio Spurs,96,0.0,1.0,,,,,,
206,Phoenix Suns,101,Washington Wizards,106,0.0,1.0,,,,,,
207,New Orleans Pelicans,112,Atlanta Hawks,94,1.0,0.0,,,,,,
208,Chicago Bulls,107,Denver Nuggets,110,0.0,1.0,,,,,,
209,Oklahoma City Thunder,109,Los Angeles Lakers,111,0.0,1.0,,,,,,
210,Portland Trail Blazers,103,New York Knicks,107,0.0,1.0,,,,,,
211,Boston Celtics,111,Brooklyn Nets,92,1.0,0.0,,,,,,
212,San Antonio Spurs,119,Charlotte Hornets,114,1.0,0.0,,,,,,
213,Portland Trail Blazers,125,Cleveland Cavaliers,137,0.0,1.0,,,,,,
214,Los Angeles Clippers,124,Dallas Mavericks,104,1.0,0.0,,,,,,
215,Miami Heat,84,Detroit Pistons,107,0.0,1.0,,,,,,
216,Los Angeles Lakers,106,Golden State Warriors,149,0.0,1.0,,,,,,
217,Toronto Raptors,115,Houston Rockets,102,1.0,0.0,,,,,,
218,Atlanta Hawks,96,Indiana Pacers,85,1.0,0.0,,,,,,
219,Minnesota Timberwolves,96,New Orleans Pelicans,117,0.0,1.0,,,,,,
220,Phoenix Suns,92,Orlando Magic,87,1.0,0.0,,,,,,
221,Memphis Grizzlies,104,Philadelphia 76ers,99,1.0,0.0,,,,,,
222,Oklahoma City Thunder,101,Sacramento Kings,116,0.0,1.0,,,,,,
223,Denver Nuggets,83,Utah Jazz,108,0.0,1.0,,,,,,
224,San Antonio Spurs,109,Boston Celtics,103,1.0,0.0,,,,,,
225,Dallas Mavericks,90,Cleveland Cavaliers,128,0.0,1.0,,,,,,
226,Oklahoma City Thunder,132,Denver Nuggets,129,1.0,0.0,,,,,,
227,Los Angeles Clippers,97,Detroit Pistons,108,0.0,1.0,,,,,,
228,Brooklyn Nets,97,Indiana Pacers,118,0.0,1.0,,,,,,
229,Golden State Warriors,109,Los Angeles Lakers,85,1.0,0.0,,,,,,
230,Miami Heat,90,Memphis Grizzlies,81,1.0,0.0,,,,,,
231,Toronto Raptors,105,Milwaukee Bucks,99,1.0,0.0,,,,,,
232,Charlotte Hornets,111,New York Knicks,113,0.0,1.0,,,,,,
233,Washington Wizards,94,Orlando Magic,91,1.0,0.0,,,,,,
234,Chicago Bulls,105,Philadelphia 76ers,89,1.0,0.0,,,,,,
235,Minnesota Timberwolves,98,Phoenix Suns,85,1.0,0.0,,,,,,
236,New Orleans Pelicans,104,Portland Trail Blazers,119,0.0,1.0,,,,,,
237,Houston Rockets,117,Sacramento Kings,104,1.0,0.0,,,,,,
238,Atlanta Hawks,68,Utah Jazz,95,0.0,1.0,,,,,,
239,New York Knicks,102,Charlotte Hornets,107,0.0,1.0,,,,,,
240,Minnesota Timberwolves,102,Golden State Warriors,115,0.0,1.0,,,,,,
241,Memphis Grizzlies,110,Miami Heat,107,1.0,0.0,,,,,,
242,Detroit Pistons,88,Oklahoma City Thunder,106,0.0,1.0,,,,,,
243,San Antonio Spurs,112,Washington Wizards,100,1.0,0.0,,,,,,
244,Sacramento Kings,122,Brooklyn Nets,105,1.0,0.0,,,,,,
245,New Orleans Pelicans,81,Dallas Mavericks,91,0.0,1.0,,,,,,
246,Los Angeles Clippers,70,Indiana Pacers,91,0.0,1.0,,,,,,
247,Atlanta Hawks,94,Los Angeles Lakers,109,0.0,1.0,,,,,,
248,Milwaukee Bucks,104,Orlando Magic,96,1.0,0.0,,,,,,
249,Cleveland Cavaliers,112,Philadelphia 76ers,108,1.0,0.0,,,,,,
250,Denver Nuggets,120,Phoenix Suns,114,1.0,0.0,,,,,,
251,Houston Rockets,130,Portland Trail Blazers,114,1.0,0.0,,,,,,
252,Atlanta Hawks,100,Golden State Warriors,105,0.0,1.0,,,,,,
253,Charlotte Hornets,104,Memphis Grizzlies,85,1.0,0.0,,,,,,
254,Boston Celtics,112,Miami Heat,104,1.0,0.0,,,,,,
255,Utah Jazz,112,Minnesota Timberwolves,103,1.0,0.0,,,,,,
256,Oklahoma City Thunder,112,New York Knicks,103,1.0,0.0,,,,,,
257,Philadelphia 76ers,95,Toronto Raptors,122,0.0,1.0,,,,,,
258,Sacramento Kings,95,Washington Wizards,101,0.0,1.0,,,,,,
259,Los Angeles Clippers,122,Brooklyn Nets,127,0.0,1.0,,,,,,
260,Detroit Pistons,112,Charlotte Hornets,89,1.0,0.0,,,,,,
261,Cleveland Cavaliers,101,Milwaukee Bucks,118,0.0,1.0,,,,,,
262,Los Angeles Lakers,88,New Orleans Pelicans,105,0.0,1.0,,,,,,
263,Orlando Magic,95,San Antonio Spurs,83,1.0,0.0,,,,,,
264,Houston Rockets,101,Utah Jazz,120,0.0,1.0,,,,,,
265,Detroit Pistons,121,Boston Celtics,114,1.0,0.0,,,,,,
266,Los Angeles Lakers,96,Chicago Bulls,90,1.0,0.0,,,,,,
267,San Antonio Spurs,94,Dallas Mavericks,87,1.0,0.0,,,,,,
268,Miami Heat,106,Denver Nuggets,98,1.0,0.0,,,,,,
